Date, Open, High, Low, Close, Volume
12/27/19, 67.00, 67.00, 66.20, 66.30, 1972480
12/26/19, 66.00, 67.00, 66.00, 67.00, 419710
12/23/19, 67.90, 67.90, 66.20, 66.60, 2037080
12/20/19, 64.00, 68.00, 63.50, 68.00, 7266030
12/19/19, 64.80, 64.85, 63.55, 64.50, 2281740
12/18/19, 64.55, 64.85, 62.50, 64.85, 3023860
12/17/19, 66.40, 66.70, 63.00, 64.05, 6655000
12/16/19, 67.00, 67.45, 66.20, 66.20, 1553810
12/13/19, 67.70, 67.70, 66.50, 67.50, 2346710
12/12/19, 68.15, 68.15, 66.20, 66.20, 2717470
12/11/19, 67.00, 68.20, 66.95, 68.20, 1794540
12/10/19, 68.20, 68.20, 66.65, 67.00, 1921390
12/09/19, 67.95, 68.30, 67.50, 68.20, 2223130
12/06/19, 67.50, 68.00, 67.15, 67.95, 1027080
12/05/19, 67.20, 68.20, 67.20, 68.00, 1629000
12/04/19, 67.75, 68.20, 67.00, 68.20, 2511160
12/03/19, 67.00, 68.05, 66.50, 67.20, 2379730
12/02/19, 67.60, 67.95, 66.25, 67.50, 2832170
11/29/19, 67.90, 67.90, 66.25, 66.25, 2132190
11/28/19, 68.40, 68.40, 67.75, 68.20, 1664890
11/27/19, 67.60, 68.50, 67.05, 68.45, 2788870
11/26/19, 67.05, 67.50, 66.15, 67.50, 6181820
11/25/19, 68.00, 68.00, 67.40, 68.00, 2313840
11/22/19, 66.15, 68.40, 66.00, 68.40, 3647780
11/21/19, 67.05, 67.70, 66.00, 66.95, 1717250
11/20/19, 67.90, 68.10, 67.05, 67.50, 1999170
11/19/19, 67.00, 67.90, 66.70, 67.90, 1533550
11/18/19, 67.90, 67.90, 67.20, 67.30, 1872610
11/15/19, 68.00, 68.15, 67.60, 67.90, 2643530
11/14/19, 68.00, 68.00, 67.35, 68.00, 2055510
11/13/19, 68.40, 68.45, 67.55, 67.65, 803860
11/12/19, 68.50, 68.75, 67.60, 68.40, 2003860
11/11/19, 67.60, 68.40, 67.40, 68.40, 1786360
11/08/19, 67.65, 67.65, 66.65, 67.55, 2085560
11/07/19, 67.55, 67.65, 67.15, 67.65, 3880340
11/06/19, 67.60, 67.90, 67.40, 67.55, 851460
11/05/19, 66.40, 68.00, 66.35, 68.00, 6136180
11/04/19, 67.60, 67.60, 66.15, 66.40, 2817100
10/31/19, 67.50, 67.75, 67.45, 67.60, 4382160
10/30/19, 67.40, 67.55, 66.75, 67.45, 5858240
10/29/19, 65.50, 67.25, 65.40, 66.00, 4765400
10/28/19, 64.90, 65.80, 64.00, 65.35, 3265740
10/25/19, 63.805, 64.602, 63.407, 63.407, 4519514.03980007
10/24/19, 63.363, 63.407, 62.832, 62.832, 1708548.67724213
10/23/19, 63.628, 63.673, 62.876, 63.363, 1844205.17543519
10/22/19, 62.655, 63.628, 62.566, 63.628, 5605511.82533458
10/21/19, 62.743, 62.788, 62.168, 62.655, 1951634.27400423
10/18/19, 61.062, 62.92, 61.018, 62.743, 9079176.97906536
10/17/19, 60.664, 61.062, 60.354, 60.885, 2874900.76170632
10/16/19, 60.708, 61.416, 60.088, 60.177, 3112302.45854413
10/15/19, 60.487, 60.796, 60.221, 60.619, 3977633.84701792
10/14/19, 60.575, 61.018, 60.177, 60.442, 1743137.9767814
10/11/19, 60.00, 60.575, 59.292, 60.177, 2941457.76081978
10/10/19, 58.496, 60.00, 58.496, 60.00, 2355484.96862494
10/09/19, 59.823, 60.221, 57.965, 58.407, 3459370.65392118
10/08/19, 60.619, 61.726, 59.469, 59.558, 2133247.87158514
10/07/19, 59.956, 60.841, 59.779, 60.177, 1461440.28053362
10/04/19, 58.407, 60.221, 58.363, 60.177, 3876623.14836338
10/03/19, 59.292, 59.735, 58.363, 58.363, 2580253.26563103
10/02/19, 59.956, 60.487, 59.381, 59.381, 985913.68686763
10/01/19, 60.531, 60.752, 59.248, 59.956, 2575789.76569048
09/30/19, 59.292, 61.106, 59.248, 60.531, 5127826.93169735
09/27/19, 59.646, 61.239, 59.159, 59.204, 3189210.25751972
09/26/19, 59.292, 60.00, 58.982, 59.513, 1971375.37374128
09/25/19, 59.956, 60.177, 58.496, 59.292, 2844718.46210835
09/24/19, 59.69, 60.133, 59.69, 59.956, 3203403.05733067
09/23/19, 59.956, 60.442, 59.513, 59.513, 2020180.0730912
09/20/19, 60.619, 60.841, 59.735, 59.735, 4979548.33367242
09/19/19, 60.177, 60.841, 60.133, 60.487, 1324303.48236028
09/18/19, 60.619, 60.752, 60.044, 60.044, 2938711.86085636
09/17/19, 61.947, 61.947, 60.354, 60.442, 2701570.06401509
09/16/19, 61.947, 62.168, 61.46, 61.593, 2685343.26423123
09/13/19, 61.593, 62.168, 61.593, 61.903, 1722775.37705263
09/12/19, 61.947, 62.035, 60.973, 61.504, 6337672.7155822
09/11/19, 61.947, 62.08, 61.726, 61.726, 5339848.82887321
09/10/19, 62.168, 62.168, 61.77, 61.903, 4682245.33763249
09/09/19, 62.08, 62.301, 62.035, 62.08, 2138152.07151981
09/06/19, 62.389, 62.434, 62.035, 62.035, 2125473.47168869
09/05/19, 62.124, 62.478, 61.947, 61.947, 4513615.43987864
09/04/19, 62.434, 62.699, 61.77, 61.991, 2448201.46738996
09/03/19, 62.389, 62.92, 62.389, 62.389, 2315991.46915099
09/02/19, 63.274, 63.274, 62.389, 62.389, 2588671.76551889
08/30/19, 63.053, 64.381, 62.743, 62.743, 3431674.3542901
08/29/19, 63.54, 63.54, 62.434, 62.434, 3114381.65851644
08/28/19, 62.566, 63.805, 62.478, 63.54, 4172061.64442814
08/27/19, 63.717, 63.717, 62.522, 62.522, 4623767.83841141
08/23/19, 63.407, 63.717, 62.212, 63.717, 1302031.18265694
08/22/19, 62.965, 63.407, 62.301, 63.407, 4609925.33859579
