Date, Open, High, Low, Close, Volume
12/27/19, 305.00, 317.00, 304.00, 317.00, 190120
12/26/19, 300.00, 310.00, 300.00, 305.00, 75490
12/23/19, 290.40, 300.00, 290.40, 299.80, 395320
12/20/19, 311.80, 313.00, 286.20, 286.20, 1037720
12/19/19, 311.00, 315.80, 308.20, 311.40, 272710
12/18/19, 308.00, 320.00, 306.00, 320.00, 117830
12/17/19, 304.20, 317.80, 296.40, 317.80, 275710
12/16/19, 318.00, 318.00, 299.40, 303.00, 375070
12/13/19, 317.00, 322.20, 315.00, 318.00, 207240
12/12/19, 324.00, 324.00, 310.00, 310.00, 234100
12/11/19, 322.00, 325.00, 321.60, 323.40, 64420
12/10/19, 326.00, 326.00, 321.00, 321.00, 68650
12/09/19, 326.40, 327.00, 321.20, 326.00, 74890
12/06/19, 320.00, 326.00, 318.00, 326.00, 99740
12/05/19, 322.00, 322.00, 320.00, 320.00, 97200
12/04/19, 324.60, 324.60, 320.00, 321.20, 318600
12/03/19, 321.00, 324.80, 321.00, 322.40, 66490
12/02/19, 321.80, 322.00, 320.00, 322.00, 82720
11/29/19, 315.00, 319.80, 315.00, 319.00, 67140
11/28/19, 322.60, 322.60, 315.00, 315.00, 185420
11/27/19, 325.00, 325.00, 317.20, 319.00, 262400
11/26/19, 320.00, 325.00, 313.20, 319.00, 793090
11/25/19, 324.00, 326.00, 320.00, 320.00, 344000
11/22/19, 317.00, 331.00, 317.00, 330.00, 123340
11/21/19, 327.00, 327.00, 316.00, 319.00, 224290
11/20/19, 330.60, 331.20, 322.20, 323.60, 148900
11/19/19, 335.00, 335.00, 330.20, 330.20, 77440
11/18/19, 337.00, 337.20, 334.60, 335.00, 195290
11/15/19, 337.00, 340.00, 335.80, 338.00, 195350
11/14/19, 342.40, 343.00, 335.40, 335.40, 178270
11/13/19, 347.20, 347.20, 341.20, 347.00, 86500
11/12/19, 345.40, 347.00, 341.20, 347.00, 95900
11/11/19, 349.80, 350.00, 340.20, 340.20, 125780
11/08/19, 346.20, 349.80, 342.00, 349.80, 150820
11/07/19, 345.20, 346.00, 343.60, 346.00, 134720
11/06/19, 350.00, 350.00, 343.40, 344.00, 156830
11/05/19, 350.00, 350.40, 347.00, 349.00, 445310
11/04/19, 347.00, 348.00, 345.00, 347.00, 163590
10/31/19, 347.00, 348.60, 338.40, 338.40, 144710
10/30/19, 350.00, 350.00, 346.00, 346.00, 136490
10/29/19, 358.00, 362.60, 344.00, 346.00, 504760
10/28/19, 363.00, 363.00, 355.80, 355.80, 228730
10/25/19, 363.80, 363.80, 356.20, 356.20, 249900
10/24/19, 361.60, 364.40, 360.40, 360.40, 175400
10/23/19, 364.00, 364.80, 362.80, 364.00, 101210
10/22/19, 364.60, 366.60, 362.60, 364.00, 108910
10/21/19, 368.00, 368.00, 361.20, 365.00, 105960
10/18/19, 366.20, 369.20, 360.20, 360.60, 533130
10/17/19, 367.00, 369.00, 363.20, 369.00, 112880
10/16/19, 367.00, 367.00, 362.20, 367.00, 123730
10/15/19, 365.00, 367.00, 362.60, 367.00, 108570
10/14/19, 365.00, 365.20, 362.20, 365.00, 39930
10/11/19, 365.00, 365.20, 359.00, 365.20, 83270
10/10/19, 366.00, 366.00, 359.60, 365.00, 124930
10/09/19, 363.00, 363.20, 360.00, 360.00, 66020
10/08/19, 362.00, 364.00, 362.00, 363.00, 87890
10/07/19, 367.00, 367.00, 360.20, 362.00, 54500
10/04/19, 360.00, 367.00, 359.00, 367.00, 46500
