Date, Open, High, Low, Close, Volume
12/27/19, 77.95, 80.00, 76.00, 80.00, 839780
12/26/19, 76.50, 77.95, 75.20, 77.95, 256650
12/23/19, 75.75, 77.00, 74.90, 77.00, 123020
12/20/19, 72.05, 75.00, 72.05, 75.00, 151690
12/19/19, 71.10, 73.90, 71.00, 73.90, 167380
12/18/19, 72.80, 73.00, 71.00, 72.00, 520660
12/17/19, 74.50, 74.50, 73.00, 73.50, 434370
12/16/19, 74.50, 74.80, 74.10, 74.10, 472710
12/13/19, 74.90, 74.95, 73.65, 74.90, 93370
12/12/19, 74.90, 75.00, 74.30, 75.00, 31920
12/11/19, 74.80, 75.00, 74.00, 75.00, 238240
12/10/19, 75.00, 75.00, 73.60, 75.00, 116820
12/09/19, 74.50, 75.00, 73.60, 75.00, 50850
12/06/19, 74.75, 74.75, 73.70, 73.70, 171900
12/05/19, 75.40, 75.40, 74.05, 74.95, 422420
12/04/19, 74.95, 75.15, 74.30, 74.95, 47240
12/03/19, 75.00, 76.00, 74.45, 74.95, 192940
12/02/19, 78.00, 78.00, 74.55, 75.00, 262070
11/29/19, 76.00, 79.00, 74.50, 79.00, 107350
11/28/19, 76.00, 76.00, 74.70, 76.00, 279670
11/27/19, 74.50, 75.30, 74.50, 75.20, 221700
11/26/19, 75.00, 76.00, 74.55, 75.00, 493340
11/25/19, 74.60, 75.90, 74.60, 75.00, 167460
11/22/19, 77.00, 77.00, 74.70, 75.70, 238970
11/21/19, 75.50, 76.30, 75.00, 76.30, 204390
11/20/19, 75.20, 76.50, 74.00, 76.50, 308160
11/19/19, 75.10, 75.85, 75.10, 75.20, 47560
11/18/19, 75.50, 75.95, 75.10, 75.10, 368640
11/15/19, 75.80, 75.80, 75.10, 75.45, 608750
11/14/19, 75.60, 75.85, 75.60, 75.80, 26840
11/13/19, 76.05, 76.05, 75.60, 75.80, 1008010
11/12/19, 76.75, 76.75, 75.85, 76.65, 420570
11/11/19, 77.45, 77.45, 75.50, 77.00, 187290
11/08/19, 75.70, 77.00, 75.70, 77.00, 802450
11/07/19, 76.85, 77.95, 76.00, 77.50, 100350
11/06/19, 77.30, 77.30, 76.05, 76.25, 537080
11/05/19, 76.05, 76.75, 75.70, 75.70, 419590
11/04/19, 76.45, 76.95, 75.55, 76.10, 98310
10/31/19, 76.00, 76.45, 75.65, 75.85, 962090
10/30/19, 77.10, 77.10, 75.90, 76.00, 1262810
10/29/19, 78.75, 78.75, 77.10, 77.10, 438710
10/28/19, 78.70, 79.00, 77.70, 78.75, 946640
10/25/19, 77.00, 79.00, 75.60, 79.00, 327700
10/24/19, 77.80, 77.80, 76.05, 77.50, 27240
10/23/19, 77.00, 77.00, 75.60, 76.00, 826150
10/22/19, 76.60, 77.00, 76.00, 76.00, 2288430
10/21/19, 76.55, 77.00, 76.50, 76.60, 596210
10/18/19, 77.90, 77.90, 76.50, 76.55, 390060
10/17/19, 77.65, 77.65, 76.60, 76.90, 343480
10/16/19, 77.60, 77.95, 77.00, 77.65, 7330
10/15/19, 79.00, 79.00, 76.65, 77.00, 406310
10/14/19, 78.00, 79.00, 78.00, 78.20, 932700
10/11/19, 77.05, 79.90, 76.40, 79.90, 728120
10/10/19, 76.85, 77.70, 76.05, 77.70, 146850
10/09/19, 75.70, 77.05, 75.70, 76.90, 588670
10/08/19, 76.50, 77.75, 76.50, 76.90, 1995570
10/07/19, 75.80, 76.70, 75.80, 76.00, 1551220
10/04/19, 76.50, 76.50, 75.95, 76.00, 1191020
10/03/19, 77.95, 77.95, 74.70, 76.50, 776010
10/02/19, 78.00, 78.00, 76.10, 76.50, 178300
10/01/19, 76.10, 78.00, 76.10, 78.00, 79760
09/30/19, 79.00, 79.00, 78.90, 79.00, 522830
09/27/19, 78.95, 79.00, 78.00, 79.00, 15770
09/26/19, 77.00, 79.00, 77.00, 79.00, 692640
09/25/19, 78.50, 78.50, 76.75, 78.00, 239460
09/24/19, 78.50, 78.50, 78.25, 78.25, 53820
09/23/19, 80.35, 80.35, 78.50, 78.50, 451090
09/20/19, 79.75, 80.35, 78.55, 80.35, 196370
09/19/19, 80.50, 80.50, 78.30, 79.80, 6400
09/18/19, 79.00, 80.50, 78.70, 80.50, 19910
09/17/19, 80.00, 80.50, 79.00, 79.00, 468380
09/16/19, 79.90, 80.50, 78.55, 80.50, 876170
09/13/19, 78.00, 80.10, 77.55, 80.10, 492470
09/12/19, 77.20, 77.95, 77.20, 77.50, 958650
09/11/19, 77.55, 77.85, 77.55, 77.55, 419910
09/10/19, 77.00, 78.00, 77.00, 77.50, 861060
09/09/19, 77.05, 78.20, 76.50, 77.00, 254100
09/06/19, 78.00, 78.90, 77.05, 77.05, 22070
09/05/19, 77.10, 78.15, 77.00, 78.00, 302300
09/04/19, 75.50, 77.95, 75.50, 77.00, 589490
09/03/19, 77.05, 78.50, 75.00, 75.00, 168050
09/02/19, 78.00, 79.50, 77.70, 79.40, 79760
08/30/19, 78.50, 78.50, 76.70, 78.00, 1543300
08/29/19, 77.50, 78.50, 77.25, 78.50, 467780
08/28/19, 79.70, 79.70, 78.45, 78.50, 508610
08/27/19, 80.00, 80.00, 78.40, 79.00, 215320
08/23/19, 77.00, 80.50, 76.90, 80.50, 82970
08/22/19, 77.00, 77.50, 77.00, 77.50, 1995330
08/20/19, 77.50, 78.00, 77.00, 77.55, 518220
08/19/19, 76.80, 79.45, 76.80, 78.00, 672470
08/16/19, 77.50, 78.05, 76.80, 76.80, 773920
08/15/19, 78.55, 78.55, 76.90, 77.60, 504820
08/14/19, 80.90, 80.90, 78.00, 78.50, 626480
08/13/19, 77.40, 81.70, 77.40, 81.70, 323730
08/09/19, 79.90, 79.90, 77.05, 78.50, 749620
08/08/19, 79.10, 80.00, 78.05, 80.00, 537480
08/07/19, 78.10, 79.70, 78.10, 79.10, 276760
08/06/19, 78.30, 79.30, 75.50, 78.05, 562080
08/05/19, 79.50, 79.55, 77.15, 77.50, 513920
08/02/19, 78.10, 79.75, 78.00, 79.50, 475860
08/01/19, 79.30, 79.30, 77.50, 78.10, 173670
07/31/19, 78.05, 79.30, 78.00, 79.30, 717850
07/30/19, 78.00, 78.50, 78.00, 78.05, 509350
07/29/19, 78.00, 78.75, 77.75, 78.05, 415000
07/26/19, 78.00, 78.00, 77.75, 78.00, 785870
07/25/19, 78.70, 78.70, 77.70, 77.95, 1396270
07/24/19, 79.00, 79.20, 78.50, 79.00, 1060330
07/23/19, 79.00, 79.15, 78.55, 79.00, 391230
07/22/19, 78.00, 79.00, 77.50, 79.00, 1268880
07/19/19, 77.00, 78.00, 77.00, 78.00, 764130
07/18/19, 75.60, 77.80, 75.60, 77.00, 225770
07/17/19, 74.80, 76.80, 74.80, 75.60, 531210
07/16/19, 77.90, 78.40, 74.80, 74.80, 1489980
07/15/19, 80.00, 80.00, 76.55, 77.10, 1218150
07/12/19, 78.75, 80.00, 77.95, 80.00, 610130
07/11/19, 78.20, 78.75, 78.00, 78.75, 316700
07/10/19, 77.15, 78.45, 77.15, 78.00, 230190
07/09/19, 77.00, 77.30, 76.50, 77.30, 65280
07/08/19, 77.30, 77.30, 76.70, 77.00, 373430
07/05/19, 76.85, 77.30, 76.85, 77.00, 463010
07/04/19, 77.00, 77.30, 76.80, 77.00, 1299830
07/03/19, 75.20, 77.95, 75.20, 77.00, 2475270
07/02/19, 75.10, 75.25, 74.90, 75.20, 1566650
07/01/19, 75.60, 75.60, 74.95, 75.10, 2461450
06/28/19, 73.70, 74.95, 73.70, 74.00, 290150
06/27/19, 75.80, 75.80, 73.00, 73.70, 777680
06/26/19, 76.50, 76.60, 75.75, 75.85, 1204920
06/25/19, 76.00, 76.70, 76.00, 76.65, 2443100
06/24/19, 75.85, 76.05, 75.75, 76.00, 1567590
06/21/19, 76.70, 76.70, 75.50, 75.80, 653060
06/20/19, 76.65, 77.00, 76.50, 76.65, 1382040
06/19/19, 76.60, 76.65, 76.50, 76.60, 1831790
06/18/19, 76.30, 76.65, 76.00, 76.60, 647520
06/17/19, 75.85, 76.20, 75.85, 76.20, 623940
06/14/19, 76.45, 76.50, 75.00, 75.85, 801310
06/13/19, 75.85, 76.20, 74.90, 76.20, 788950
06/11/19, 75.80, 76.00, 74.40, 75.50, 182300
06/10/19, 72.45, 76.00, 72.45, 75.90, 186050
06/07/19, 72.95, 73.00, 71.50, 73.00, 271800
06/06/19, 73.00, 73.50, 72.20, 72.95, 215360
06/04/19, 73.40, 73.50, 72.00, 72.00, 200450
06/03/19, 73.15, 73.65, 72.20, 72.20, 604080
05/31/19, 72.20, 73.30, 72.00, 73.00, 292680
05/30/19, 72.20, 72.20, 71.00, 71.00, 482750
05/29/19, 71.50, 71.50, 70.60, 70.85, 458580
05/28/19, 71.05, 71.40, 70.65, 71.00, 1304440
05/27/19, 70.80, 71.10, 70.80, 71.00, 259510
05/24/19, 71.30, 71.30, 70.15, 71.05, 452030
05/23/19, 71.90, 71.90, 69.60, 70.35, 320530
05/22/19, 73.00, 73.45, 71.15, 71.45, 191430
05/21/19, 73.00, 73.70, 72.50, 72.80, 445070
05/20/19, 71.05, 73.00, 70.50, 73.00, 155550
05/17/19, 69.85, 71.05, 69.10, 71.05, 1234310
05/16/19, 69.15, 69.85, 69.05, 69.70, 665160
05/15/19, 69.00, 70.00, 68.55, 69.00, 1300980
05/14/19, 72.50, 72.50, 68.10, 68.85, 914810
05/10/19, 72.35, 73.50, 72.25, 72.50, 493440
05/09/19, 70.65, 72.95, 70.40, 72.00, 810740
05/08/19, 73.00, 73.00, 70.60, 70.65, 1707390
05/07/19, 76.25, 76.25, 72.80, 73.00, 2050430
05/06/19, 76.50, 78.00, 76.50, 76.75, 413900
05/03/19, 77.70, 78.00, 77.50, 77.50, 238870
05/02/19, 78.00, 78.00, 77.20, 77.95, 879150
04/30/19, 77.05, 78.00, 76.40, 78.00, 339570
04/29/19, 78.30, 78.30, 76.60, 77.00, 294500
04/26/19, 78.20, 78.30, 77.25, 78.30, 68530
04/25/19, 78.30, 78.30, 76.75, 78.30, 97890
04/24/19, 78.70, 78.70, 77.70, 78.30, 248260
04/23/19, 78.00, 78.80, 78.00, 78.70, 272450
04/22/19, 78.60, 78.90, 78.00, 78.85, 254970
04/17/19, 79.00, 79.00, 78.00, 78.90, 120620
04/16/19, 80.00, 80.00, 78.00, 78.00, 266490
04/15/19, 80.00, 80.00, 79.70, 80.00, 240130
04/12/19, 80.00, 80.00, 79.90, 79.90, 38450
04/11/19, 80.30, 80.60, 79.90, 80.05, 637210
04/10/19, 80.00, 80.05, 79.60, 80.00, 531400
04/08/19, 79.80, 80.15, 79.80, 80.00, 503880
04/05/19, 80.35, 80.35, 79.85, 80.00, 45690
04/04/19, 80.00, 80.60, 78.55, 80.35, 183980
04/03/19, 80.05, 80.05, 79.90, 80.00, 888060
04/02/19, 79.00, 81.00, 79.00, 80.10, 1633630
04/01/19, 79.05, 79.90, 76.65, 79.00, 810000
03/29/19, 79.15, 79.40, 78.80, 79.00, 846770
03/28/19, 80.00, 80.05, 78.00, 78.00, 1421450
03/27/19, 81.50, 81.50, 77.90, 80.00, 737560
03/26/19, 81.90, 81.90, 81.00, 81.10, 467990
03/25/19, 82.00, 82.00, 80.90, 81.95, 496460
03/22/19, 81.15, 82.50, 81.15, 82.00, 824880
03/21/19, 78.90, 81.05, 78.90, 80.60, 831420
03/20/19, 80.00, 80.00, 78.00, 78.50, 666050
03/19/19, 82.80, 83.00, 78.50, 78.90, 2078420
03/18/19, 84.20, 86.35, 82.60, 82.75, 603320
03/15/19, 85.00, 85.00, 83.70, 84.00, 5638550
03/14/19, 87.00, 87.00, 84.95, 85.00, 504930
03/13/19, 85.10, 87.00, 85.10, 87.00, 1052850
03/12/19, 85.00, 86.50, 85.00, 86.00, 240720
03/11/19, 86.00, 86.00, 84.50, 85.50, 123490
03/08/19, 86.90, 87.40, 85.50, 85.50, 641700
03/07/19, 85.25, 87.30, 85.25, 87.00, 1546200
03/06/19, 85.10, 85.75, 85.10, 85.65, 478780
03/05/19, 86.15, 86.15, 84.20, 85.10, 656690
03/04/19, 86.50, 86.50, 84.80, 85.30, 642180
03/01/19, 86.00, 87.50, 85.25, 86.50, 417360
02/28/19, 86.90, 88.00, 85.25, 87.50, 358820
02/27/19, 86.50, 87.70, 86.00, 86.90, 353670
02/26/19, 87.00, 88.25, 85.50, 87.75, 323450
02/22/19, 88.00, 88.00, 86.90, 87.00, 1025810
02/21/19, 86.25, 88.40, 86.25, 87.00, 1307530
02/20/19, 86.75, 88.95, 86.75, 88.00, 833370
02/19/19, 88.50, 88.55, 86.00, 86.00, 725960
02/18/19, 86.60, 89.00, 86.55, 87.00, 1397910
02/15/19, 88.50, 89.00, 85.00, 85.00, 491420
02/14/19, 85.00, 89.40, 85.00, 89.40, 253950
02/13/19, 86.00, 86.15, 85.00, 85.50, 778880
02/12/19, 86.00, 86.55, 85.20, 85.50, 278790
02/11/19, 88.00, 89.40, 86.00, 86.00, 26950
02/08/19, 87.60, 89.40, 87.60, 87.80, 602830
02/07/19, 88.40, 89.00, 87.50, 88.50, 607220
02/06/19, 88.50, 90.65, 88.00, 88.40, 1463930
02/04/19, 90.00, 90.15, 86.75, 89.10, 268960
02/01/19, 88.00, 90.20, 88.00, 89.70, 1963250
01/31/19, 86.10, 88.00, 85.00, 88.00, 535330
01/30/19, 83.65, 86.45, 83.65, 86.10, 659110
01/29/19, 87.50, 87.50, 85.60, 87.00, 218880
01/28/19, 85.00, 87.00, 84.95, 86.50, 999570
01/25/19, 85.50, 86.00, 84.05, 85.00, 690360
01/24/19, 85.00, 86.00, 82.10, 85.50, 1549110
01/23/19, 84.00, 84.85, 82.05, 84.00, 97200
01/22/19, 85.65, 85.65, 83.50, 84.00, 104680
01/21/19, 86.10, 86.30, 82.00, 82.00, 151200
