Date, Open, High, Low, Close, Volume
12/27/19, 22.00, 22.60, 21.60, 22.00, 2253400
12/26/19, 21.90, 21.95, 21.70, 21.95, 585400
12/23/19, 21.60, 21.90, 21.60, 21.80, 1129800
12/20/19, 21.15, 21.55, 21.10, 21.55, 1146500
12/19/19, 21.20, 21.20, 20.95, 21.10, 1098000
12/18/19, 21.00, 21.40, 20.65, 21.20, 1603800
12/17/19, 21.00, 21.65, 20.95, 21.00, 915600
12/16/19, 20.45, 21.60, 20.45, 20.90, 2644500
12/13/19, 20.20, 21.20, 20.20, 20.40, 4309400
12/12/19, 20.45, 20.60, 19.90, 20.15, 2332000
12/11/19, 20.30, 20.50, 20.15, 20.40, 1072200
12/10/19, 20.20, 20.30, 20.00, 20.15, 1613600
12/09/19, 20.00, 20.60, 20.00, 20.20, 3065400
12/06/19, 20.80, 21.00, 19.00, 20.00, 4472200
12/05/19, 21.35, 21.35, 20.65, 20.80, 1430800
12/04/19, 21.00, 21.50, 20.45, 20.85, 2553600
12/03/19, 21.30, 21.60, 21.00, 21.00, 2804800
12/02/19, 21.85, 21.85, 21.50, 21.60, 2544200
11/29/19, 21.85, 21.95, 21.75, 21.80, 571700
11/28/19, 21.90, 22.00, 21.80, 21.85, 3639900
11/27/19, 21.75, 22.00, 21.50, 21.90, 2636200
11/26/19, 20.55, 22.00, 20.55, 22.00, 2756700
11/25/19, 21.00, 21.40, 20.20, 20.50, 2556000
11/22/19, 20.20, 20.85, 20.15, 20.75, 2396800
11/21/19, 21.90, 21.95, 19.76, 19.76, 4759800
11/20/19, 23.00, 23.05, 20.35, 21.85, 8647400
11/19/19, 23.60, 23.60, 23.30, 23.40, 407000
11/18/19, 23.90, 23.90, 23.55, 23.65, 150300
11/15/19, 23.70, 23.90, 23.40, 23.90, 1122700
11/14/19, 23.65, 23.70, 23.15, 23.70, 1094000
11/13/19, 23.55, 23.60, 23.20, 23.55, 252000
11/12/19, 23.70, 23.75, 23.50, 23.55, 344700
11/11/19, 23.50, 23.80, 23.50, 23.65, 491500
11/08/19, 23.45, 23.80, 23.20, 23.80, 1608200
11/07/19, 23.30, 23.45, 23.25, 23.45, 368900
11/06/19, 23.10, 23.25, 23.00, 23.05, 238900
11/05/19, 23.65, 23.70, 22.90, 23.00, 1909400
11/04/19, 23.35, 23.75, 23.35, 23.65, 595200
10/31/19, 23.30, 23.35, 23.15, 23.35, 895200
10/30/19, 23.20, 23.35, 23.05, 23.35, 583000
10/29/19, 23.60, 23.60, 23.10, 23.35, 1527100
10/28/19, 23.75, 23.75, 23.10, 23.70, 846100
10/25/19, 23.50, 23.80, 22.75, 23.80, 847300
10/24/19, 23.40, 23.75, 23.15, 23.50, 741200
10/23/19, 23.15, 23.50, 23.00, 23.50, 3143700
10/22/19, 22.75, 23.10, 22.75, 23.10, 1522400
10/21/19, 22.60, 22.95, 22.55, 22.75, 189500
10/18/19, 22.90, 22.90, 22.50, 22.50, 645400
10/17/19, 22.95, 22.95, 22.70, 22.95, 34300
10/16/19, 22.95, 23.00, 22.60, 22.80, 680500
10/15/19, 23.00, 23.00, 22.95, 23.00, 111200
10/14/19, 22.90, 23.00, 22.90, 23.00, 134100
10/11/19, 23.00, 23.00, 22.70, 22.90, 1370600
10/10/19, 23.00, 23.00, 22.85, 22.90, 748300
10/09/19, 22.95, 23.15, 22.85, 23.00, 756900
10/08/19, 22.10, 23.15, 21.85, 23.00, 1961400
10/07/19, 21.85, 22.20, 21.80, 22.20, 145300
10/04/19, 22.30, 22.30, 21.70, 21.85, 389300
10/03/19, 21.75, 22.35, 21.70, 22.35, 426200
10/02/19, 22.10, 22.60, 22.00, 22.05, 2044700
10/01/19, 22.60, 22.60, 22.10, 22.10, 294400
09/30/19, 22.50, 22.85, 22.05, 22.80, 1023800
09/27/19, 22.40, 22.50, 22.05, 22.05, 431400
09/26/19, 22.75, 22.75, 22.20, 22.70, 1486300
09/25/19, 22.35, 22.75, 22.15, 22.75, 238500
