Date, Open, High, Low, Close, Volume
12/27/19, 1068.00, 1080.00, 1039.00, 1043.00, 428450
12/26/19, 1062.00, 1075.00, 1055.00, 1056.00, 534815
12/23/19, 1056.00, 1080.00, 1056.00, 1078.00, 214485
12/20/19, 1034.00, 1065.00, 1000.00, 1065.00, 765455
12/19/19, 1051.00, 1052.00, 1027.00, 1035.00, 470420
12/18/19, 1050.00, 1069.00, 1043.00, 1055.00, 285955
12/17/19, 1073.00, 1073.00, 1045.00, 1050.00, 1374090
12/16/19, 1071.00, 1075.00, 1055.00, 1055.00, 333580
12/13/19, 1070.00, 1071.00, 1057.00, 1069.00, 724810
12/12/19, 1055.00, 1078.00, 1055.00, 1059.00, 261830
12/11/19, 1052.00, 1079.00, 1052.00, 1068.00, 189900
12/10/19, 1060.00, 1069.00, 1051.00, 1051.00, 159510
12/09/19, 1078.00, 1078.00, 1060.00, 1060.00, 463640
12/06/19, 1080.00, 1080.00, 1064.00, 1078.00, 136840
12/05/19, 1063.00, 1080.00, 1063.00, 1070.00, 797495
12/04/19, 1077.00, 1077.00, 1060.00, 1062.00, 1592055
12/03/19, 1078.00, 1084.00, 1062.00, 1069.00, 234010
12/02/19, 1060.00, 1080.00, 1060.00, 1080.00, 179670
11/29/19, 1090.00, 1090.00, 1056.00, 1060.00, 282645
11/28/19, 1089.00, 1095.00, 1060.00, 1070.00, 324795
11/27/19, 1090.00, 1100.00, 1087.00, 1089.00, 473390
11/26/19, 1070.00, 1091.00, 1069.00, 1091.00, 962620
11/25/19, 1056.00, 1077.00, 1054.00, 1075.00, 214695
11/22/19, 1052.00, 1066.00, 1052.00, 1066.00, 211015
11/21/19, 1070.00, 1070.00, 1050.00, 1070.00, 232485
11/20/19, 1070.00, 1070.00, 1051.00, 1070.00, 122665
11/19/19, 1069.00, 1080.00, 1061.00, 1069.00, 275130
11/18/19, 1060.00, 1075.00, 1060.00, 1068.00, 856040
11/15/19, 1070.00, 1070.00, 1050.00, 1060.00, 332730
11/14/19, 1059.00, 1070.00, 1042.00, 1070.00, 281150
11/13/19, 1068.00, 1068.00, 1051.00, 1059.00, 67420
