Date, Open, High, Low, Close, Volume
12/27/19, 161.00, 165.00, 157.50, 164.00, 101610
12/26/19, 160.00, 166.00, 155.00, 165.50, 63910
12/23/19, 157.00, 160.00, 155.00, 160.00, 191100
12/20/19, 153.00, 158.00, 150.00, 158.00, 138260
12/19/19, 159.00, 159.00, 152.00, 152.00, 131150
12/18/19, 155.00, 160.00, 151.80, 160.00, 186840
12/17/19, 155.00, 155.00, 152.30, 155.00, 213700
12/16/19, 153.00, 155.00, 151.80, 155.00, 191230
12/13/19, 152.00, 153.80, 151.80, 153.00, 262860
12/12/19, 156.00, 158.00, 152.00, 152.00, 165960
12/11/19, 157.70, 157.70, 155.00, 155.10, 165620
12/10/19, 159.90, 159.90, 157.50, 158.10, 166500
12/09/19, 160.00, 160.00, 159.00, 160.00, 19520
12/06/19, 160.00, 160.00, 158.60, 159.00, 284020
12/05/19, 162.00, 162.00, 158.50, 160.00, 165040
12/04/19, 161.00, 161.00, 158.00, 160.00, 164990
12/03/19, 158.00, 162.50, 158.00, 161.10, 228370
12/02/19, 159.20, 159.20, 158.00, 159.20, 34200
11/29/19, 160.00, 161.00, 157.00, 159.20, 28200
11/28/19, 160.00, 160.00, 158.00, 160.00, 37840
11/27/19, 160.00, 160.00, 156.00, 160.00, 48490
11/26/19, 156.90, 159.00, 155.10, 159.00, 88420
11/25/19, 158.00, 158.90, 155.90, 156.90, 48340
11/22/19, 157.00, 157.00, 156.00, 156.90, 150940
11/21/19, 160.00, 160.00, 157.60, 160.00, 96340
11/20/19, 157.70, 160.00, 156.70, 160.00, 59190
11/19/19, 158.00, 159.90, 157.00, 159.90, 64990
11/18/19, 162.50, 162.50, 158.00, 158.00, 131100
11/15/19, 163.40, 163.40, 162.10, 162.50, 80310
11/14/19, 164.00, 164.30, 162.00, 163.40, 85050
11/13/19, 163.80, 165.20, 163.40, 164.00, 40860
11/12/19, 165.50, 165.50, 163.00, 163.80, 114330
11/11/19, 170.00, 170.00, 165.20, 165.20, 57490
11/08/19, 170.00, 170.00, 165.30, 170.00, 171480
11/07/19, 170.50, 170.50, 167.80, 169.90, 42830
11/06/19, 171.30, 171.30, 167.80, 168.50, 169490
11/05/19, 168.20, 172.00, 168.20, 170.60, 129270
11/04/19, 167.70, 169.70, 167.00, 168.20, 246450
10/31/19, 174.00, 174.00, 167.00, 167.00, 169650
10/30/19, 172.70, 174.00, 170.00, 173.00, 132990
10/29/19, 168.60, 174.00, 167.00, 172.60, 256250
10/28/19, 166.70, 169.10, 165.70, 168.60, 86100
10/25/19, 165.80, 168.50, 164.40, 166.00, 505680
10/24/19, 165.00, 166.10, 165.00, 165.70, 69520
10/23/19, 166.00, 166.10, 164.40, 164.40, 88720
10/22/19, 167.90, 168.00, 166.10, 166.10, 67560
10/21/19, 168.30, 168.30, 166.00, 167.00, 203510
10/18/19, 167.70, 168.10, 167.60, 167.60, 195430
10/17/19, 166.00, 168.00, 166.00, 167.70, 72100
10/16/19, 166.00, 166.50, 165.70, 166.00, 192460
10/15/19, 167.00, 167.00, 165.10, 165.90, 99900
10/14/19, 165.00, 166.00, 164.10, 166.00, 85360
10/11/19, 161.90, 164.00, 161.80, 164.00, 138120
10/10/19, 161.80, 165.00, 161.10, 163.00, 78070
10/09/19, 165.00, 165.00, 160.70, 161.10, 222500
10/08/19, 164.00, 167.00, 164.00, 165.00, 150710
10/07/19, 165.50, 166.80, 164.00, 164.00, 123410
10/04/19, 163.00, 167.00, 163.00, 164.00, 382480
10/03/19, 167.00, 168.00, 163.00, 163.00, 220370
10/02/19, 170.40, 170.60, 167.00, 168.00, 247800
10/01/19, 171.50, 171.90, 170.40, 170.60, 325330
09/30/19, 175.00, 175.00, 171.50, 171.50, 283000
09/27/19, 177.00, 177.10, 173.40, 175.00, 110760
09/26/19, 179.90, 179.90, 176.00, 177.00, 392070
09/25/19, 177.00, 180.00, 175.80, 180.00, 539280
09/24/19, 177.90, 178.00, 175.20, 177.00, 63330
09/23/19, 179.00, 179.00, 176.00, 177.90, 77610
09/20/19, 179.00, 179.10, 175.60, 179.10, 375150
09/19/19, 174.50, 179.00, 174.50, 178.80, 466950
09/18/19, 172.60, 175.00, 172.60, 174.00, 182500
09/17/19, 171.10, 174.70, 171.10, 172.60, 78060
09/16/19, 174.80, 174.80, 170.90, 170.90, 129860
09/13/19, 174.10, 175.00, 173.00, 174.80, 61390
09/12/19, 175.00, 175.00, 172.50, 175.00, 21650
