Date, Open, High, Low, Close, Volume
12/27/19, 41.50, 42.10, 41.40, 42.10, 14600500
12/26/19, 42.00, 42.00, 41.10, 41.50, 2556400
12/23/19, 41.10, 41.95, 40.90, 41.95, 6651400
12/20/19, 40.40, 41.45, 38.85, 41.45, 29671699
12/19/19, 40.80, 41.00, 39.80, 40.65, 6101500
12/18/19, 40.60, 40.70, 40.10, 40.65, 8795700
12/17/19, 40.90, 41.20, 40.50, 40.50, 10598500
12/16/19, 41.80, 41.90, 40.80, 40.80, 7439300
12/13/19, 41.50, 41.95, 41.30, 41.80, 7638500
12/12/19, 41.00, 41.90, 40.60, 40.60, 6356800
12/11/19, 40.90, 41.95, 40.20, 41.95, 6175400
12/10/19, 40.80, 41.00, 40.65, 40.90, 5173600
12/09/19, 41.00, 41.70, 40.80, 41.00, 7602800
12/06/19, 40.00, 41.20, 39.85, 40.80, 11795900
12/05/19, 39.75, 40.20, 39.75, 40.00, 7935600
12/04/19, 40.10, 40.30, 39.50, 40.20, 10056300
12/03/19, 39.30, 40.50, 39.30, 40.50, 4067300
12/02/19, 39.00, 40.00, 38.90, 40.00, 9924000
11/29/19, 39.00, 39.20, 38.85, 39.00, 6758800
11/28/19, 39.40, 40.00, 39.10, 39.15, 4864400
11/27/19, 38.90, 39.75, 38.85, 39.75, 6474500
11/26/19, 39.20, 39.80, 38.85, 38.90, 30312699
11/25/19, 38.85, 39.40, 38.60, 39.20, 6583200
11/22/19, 38.60, 39.70, 38.40, 39.45, 7147200
11/21/19, 39.70, 39.75, 38.45, 39.00, 11666600
11/20/19, 39.70, 39.80, 39.25, 39.80, 4505300
11/19/19, 39.90, 39.90, 39.55, 39.80, 4950900
11/18/19, 39.70, 39.90, 39.10, 39.90, 4391300
11/15/19, 39.50, 39.90, 39.40, 39.90, 7417900
11/14/19, 39.20, 39.50, 39.10, 39.30, 3530500
11/13/19, 39.75, 39.75, 39.10, 39.15, 6301700
11/12/19, 39.25, 39.90, 39.15, 39.90, 4420300
11/11/19, 39.40, 39.70, 39.05, 39.10, 6870900
11/08/19, 39.80, 40.00, 39.15, 40.00, 9048700
11/07/19, 39.30, 40.10, 39.10, 40.00, 8917300
11/06/19, 40.60, 40.60, 38.80, 38.80, 7057700
11/05/19, 39.15, 40.60, 39.05, 40.60, 18480699
11/04/19, 39.00, 39.50, 38.70, 39.50, 10068900
10/31/19, 39.00, 39.15, 38.90, 39.00, 13661100
10/30/19, 38.95, 39.05, 38.70, 39.05, 10102800
10/29/19, 38.10, 39.00, 38.10, 39.00, 4463700
10/28/19, 38.80, 38.90, 38.00, 38.10, 5533900
10/25/19, 38.95, 39.05, 38.50, 38.85, 5776100
10/24/19, 38.75, 39.00, 38.05, 39.00, 8098100
10/23/19, 38.30, 38.75, 38.05, 38.75, 4032000
10/22/19, 38.00, 38.75, 38.00, 38.50, 7857700
10/21/19, 38.10, 38.50, 38.00, 38.05, 5439100
10/18/19, 38.25, 38.80, 38.25, 38.75, 3515300
10/17/19, 38.55, 38.95, 38.30, 38.95, 6492300
10/16/19, 38.10, 38.90, 38.00, 38.65, 5829500
10/15/19, 39.00, 39.10, 38.10, 38.10, 5289200
10/14/19, 38.80, 39.25, 38.80, 39.20, 7940500
10/11/19, 38.45, 38.90, 38.20, 38.80, 6410300
10/10/19, 38.00, 38.50, 37.80, 38.50, 6534700
10/09/19, 38.00, 38.00, 37.50, 37.55, 5262700
10/08/19, 38.00, 38.80, 37.85, 38.20, 21687801
10/07/19, 37.70, 37.95, 37.00, 37.95, 5093700
10/04/19, 37.00, 37.75, 36.35, 37.75, 6688400
10/03/19, 36.30, 36.30, 35.50, 36.30, 6324500
10/02/19, 36.80, 36.95, 36.25, 36.45, 6841700
10/01/19, 37.00, 37.20, 36.45, 37.10, 5430500
09/30/19, 36.50, 37.20, 36.10, 37.20, 8233100
09/27/19, 37.20, 37.20, 36.25, 36.50, 4168500
09/26/19, 37.10, 37.35, 36.65, 37.10, 4757000
09/25/19, 36.60, 37.20, 35.95, 37.20, 9081800
09/24/19, 35.50, 36.70, 35.50, 36.70, 103907398
09/23/19, 34.75, 35.50, 34.70, 35.45, 26175400
09/20/19, 35.40, 35.45, 34.75, 34.75, 18972801
09/19/19, 35.10, 35.45, 34.85, 35.45, 4148800
09/18/19, 35.35, 35.35, 34.75, 35.00, 6705500
09/17/19, 34.50, 35.40, 34.10, 35.40, 11214500
09/16/19, 34.35, 34.65, 34.10, 34.65, 7937900
09/13/19, 34.30, 34.80, 34.30, 34.50, 8859400
09/12/19, 34.60, 34.80, 34.20, 34.20, 6126200
09/11/19, 34.65, 34.65, 34.30, 34.50, 18621301
09/10/19, 34.90, 34.90, 34.25, 34.65, 8807500
09/09/19, 35.00, 35.00, 34.50, 35.00, 4643200
09/06/19, 34.45, 34.85, 34.45, 34.55, 9973500
09/05/19, 34.55, 34.90, 34.05, 34.05, 9368400
09/04/19, 34.50, 34.50, 34.05, 34.15, 9033300
09/03/19, 35.00, 35.00, 34.10, 34.10, 18809000
09/02/19, 35.30, 35.45, 34.90, 35.00, 11214400
08/30/19, 35.00, 35.80, 35.00, 35.30, 19065400
08/29/19, 35.20, 35.50, 35.00, 35.00, 9039700
08/28/19, 34.65, 35.05, 34.45, 35.05, 7017100
08/27/19, 34.85, 35.20, 34.50, 34.65, 31057199
08/23/19, 34.70, 35.00, 34.45, 34.80, 7672700
08/22/19, 35.85, 35.85, 34.65, 35.00, 15420500
08/20/19, 34.75, 35.70, 34.70, 35.70, 11271800
08/19/19, 34.55, 35.00, 34.35, 34.75, 15769000
08/16/19, 34.10, 35.25, 34.10, 34.10, 27162301
08/15/19, 35.00, 35.05, 34.00, 34.50, 21786000
08/14/19, 35.00, 35.90, 35.00, 35.50, 14396300
08/13/19, 35.50, 35.90, 34.45, 34.70, 20577301
08/09/19, 36.50, 36.70, 35.50, 35.50, 5528400
08/08/19, 36.85, 36.95, 36.40, 36.50, 9664000
08/07/19, 36.05, 36.80, 36.05, 36.80, 15407400
08/06/19, 36.00, 36.50, 35.55, 35.90, 14550000
08/05/19, 37.60, 37.60, 36.00, 36.00, 8642400
08/02/19, 37.80, 37.80, 36.85, 37.60, 7433900
08/01/19, 36.50, 38.00, 36.50, 38.00, 6341800
07/31/19, 37.70, 37.70, 36.50, 36.50, 17479900
07/30/19, 38.20, 38.20, 37.50, 37.50, 19576000
07/29/19, 37.55, 38.20, 37.50, 38.20, 6651100
07/26/19, 37.85, 38.05, 37.50, 37.50, 7252600
07/25/19, 37.50, 37.95, 37.50, 37.80, 4377800
07/24/19, 37.75, 38.25, 37.50, 37.50, 7293500
07/23/19, 38.10, 38.30, 37.80, 37.80, 5549500
07/22/19, 38.15, 38.50, 37.75, 37.90, 9283300
07/19/19, 38.75, 38.85, 38.50, 38.70, 6279000
07/18/19, 38.95, 38.95, 38.30, 38.30, 6807000
